Date,Y,Trade1,Trade2,Trade3,Trade4,Trade5,Trade6,Trade7,Trade8,Trade9,Trade10,Cross1,Cross2,Cross3,Cross4,Cross5,Cross6,Cross7,Cross8,Cross9,Cross10,Cross11,Cross12,Cross13,Macro1,Macro2,Macro3,Macro4,Macro5,Macro6,Macro7,NY,SB,MD,LD,ID,Seasonal
1/8/2006,69290547.23,25583.11756,0.139192984,0.312677044,0.07984312,0.115532217,2.160660625,0.836685921,0.997315183,0.882062884,0.97965928,2.582701442,2.529572897,3.194285599,17450.37114,10539.67026,1659.791843,0.201994714,0.152904686,0.029109278,0.145691675,0.288649445,0.130132621,0.285376778,5.150395408,230.692323,192.2492693,3.675579738,2040.640234,9452.47834,12840.34048,1,0,0,0,0,2255976.021
1/15/2006,72124950.61,25877.12587,0.163935462,0.292468143,0.089902442,0.105459076,2.148360593,0.852448668,0.997441471,0.880294473,0.974122149,2.598595473,2.506591556,3.195265553,17624.83369,10525.94889,1730.425381,0.196883512,0.142556665,0.042575384,0.135489008,0.2723407,0.106909903,0.275307085,5.150428559,229.8755268,192.3437404,3.669912802,2041.664286,9469.079477,12856.82477,0,0,0,0,0,-2716748.925
1/22/2006,71741786.23,25991.02384,0.163526054,0.288932841,0.096047207,0.113815429,2.13582249,0.888676851,0.995531926,0.919235604,0.974225721,2.581185056,2.506036073,3.174642913,17600.26876,10461.82555,1747.355735,0.18687112,0.141381806,0.041405736,0.146444177,0.269780661,0.125325842,0.269006452,5.150439808,229.5518218,192.4206435,3.660878045,2042.751735,9485.469616,12872.95271,0,0,0,0,0,-2154798.685
1/29/2006,72445099.27,25960.83391,0.176542857,0.285806946,0.109948628,0.099431472,2.143828382,0.882506002,0.99662956,0.903429727,0.9709036,2.595741316,2.500511099,3.23875717,17561.78544,10412.38438,1746.971449,0.186576123,0.174552763,0.097478196,0.139089362,0.255783648,0.112187183,0.280139347,5.150424575,229.7814511,192.4778868,3.648810483,2043.910228,9501.407044,12888.43189,0,0,0,0,0,-3043353.389
2/5/2006,90232187.4,26509.74622,0.290297519,0.225345734,0.138562953,0.085413633,2.237019076,0.940673385,0.9961873,0.945666403,0.973898375,2.612050927,2.628558769,3.23350501,18082.33002,11334.76856,1774.09166,0.17421135,0.135708701,0.052352667,0.100409295,0.183264676,0.108704651,0.235971642,5.150378281,230.6246581,192.5133905,3.634045224,2045.147371,9516.651383,12902.97148,0,1,0,0,0,14350617.09
2/12/2006,76731436.62,26436.09148,0.119648465,0.32477308,0.075361729,0.125100617,2.165302879,0.827431107,0.997513072,0.880263941,0.984953887,2.610655889,2.54966687,3.161899297,17800.22848,10893.33584,1771.573879,0.212388129,0.169256904,0.025959583,0.148021467,0.290513531,0.086598505,0.289147327,5.15029634,232.1416859,192.5250666,3.616917284,2046.470812,9530.960921,12916.27907,0,0,0,0,0,355810.9298
2/19/2006,69989629.88,26112.76929,0.143588276,0.295670211,0.074822724,0.105247698,2.134634587,0.847329307,0.996362966,0.889558564,0.980824742,2.583852138,2.530468578,3.11059786,17357.877,10228.56155,1750.642946,0.189274121,0.114661768,0.056422078,0.117026154,0.254036208,0.085379702,0.262511284,5.150174358,234.3909785,192.5109052,3.597761887,2047.888234,9544.09863,12928.06809,0,0,0,0,0,-5545431.94
2/26/2006,70116827.28,26372.97973,0.145843036,0.292077208,0.074517812,0.101910299,2.118091535,0.864130271,0.997163835,0.878453065,0.983535132,2.579228043,2.552258256,3.184027994,17386.48124,10206.38764,1778.077339,0.192101658,0.115014025,0.032455557,0.122882539,0.247248346,0.077100959,0.262674419,5.150013262,237.3802786,192.4710663,3.576917379,2049.409561,9555.923586,12938.17354,0,0,0,0,0,-5327007.786
3/5/2006,73107024.46,26719.19501,0.126898262,0.301449817,0.077177864,0.107190466,2.101329093,0.845914044,0.997262217,0.88412589,0.981336268,2.588072035,2.566343443,3.142816872,17587.12142,10220.51899,1800.851215,0.189815209,0.114022292,0.026665382,0.135368165,0.244562482,0.079513734,0.257041419,5.149823879,241.0226373,192.4097272,3.55472821,2051.048813,9566.475338,12946.6586,0,0,0,0,0,-3571661.153
3/12/2006,73975536.51,26815.18662,0.151918958,0.278878032,0.088385762,0.098165093,2.112414486,0.872346358,0.993205171,0.923347788,0.983874602,2.596424457,2.609132417,3.139612069,17608.56753,10238.42303,1798.219233,0.173506128,0.114455666,0.036073131,0.132387461,0.225705499,0.100558398,0.24145137,5.149618994,245.2124473,192.3318887,3.531539918,2052.820851,9575.829423,12953.632,0,0,0,0,0,-1130943.508
